acc_num,eng_name,rus_name,description,date_from,date_to,notes,material,technique,size
ОГ-370041,,Сцена в таверне.,Сцена в таверне.,1813,1813,,Бумага,гравюра офортом,"26,4х39,3 см"
ОГ-370042,,Женский матч игры в крикет.,Женский матч игры в крикет.,1811,1811,,Бумага,гравюра офортом,"26х37,2 см"
ОГ-356573,,казаки возвращаются с поля битвы с французскими знаменами.,Карикатура: казаки возвращаются с поля битвы с французскими знаменами.,1813,1813,,Бумага,офорт раскрашенный,"24,5х34,8 см"
ОГ-356574,,мороз аттакует Бонапарта в России.,Карикатура: мороз аттакует Бонапарта в России.,1812,1812,,Бумага,офорт раскрашенный,"24,5х34,4 см"
ОГ-356575,,польская диета.,Карикатура: польская диета.,1812,1812,,Бумага,офорт раскрашенный,"24,8х35 см"
ОГ-356576,,Бонапарт диктует бюллетень о зимних квартирах.,Карикатура: Бонапарт диктует бюллетень о зимних квартирах.,1812,1812,,Бумага,офорт раскрашенный,25х35 см
ОГ-356577,,генерал мороз брет Бонапарта.,Карикатура: генерал мороз брет Бонапарта.,1812,1812,,Бумага,офорт раскрашенный,"35,5х24,7 см"
ОГ-356578,,"патриотизм великосветских дам, экипирующих британских солдат перед войной.","Карикатура: патриотизм великосветских дам, экипирующих британских солдат перед войной.",1793,1793,,Бумага,офорт раскрашенный,"34,3х39,8 см"
ОГ-356579,,толстяк на коленях перед женщиной.,Карикатура: толстяк на коленях перед женщиной.,1791,1791,,Бумага,офорт раскрашенный,"23х24,6 см"
ОГ-356580,,"мужчина, стоя у камина, принимает лекарство.","Карикатура: мужчина, стоя у камина, принимает лекарство.",1800,1800,,Бумага,офорт раскрашенный,"34,4х24,2 см"
ОГ-356581,,"толстяк, упавший с лошади при взятии барьера.","Карикатура: толстяк, упавший с лошади при взятии барьера.",1700,1800,,Бумага,офорт раскрашенный,"27,5х37,8 см"
ОГ-356582,,"двое военных; один из них высокий и тощий, другой низенький толстяк.","Карикатура: двое военных; один из них высокий и тощий, другой низенький толстяк.",1802,1802,,Бумага,офорт раскрашенный,"24,3х30,3 см"
ОГ-356583,,старуха в кресле перед камином срезает кухонным ножом мозоли с правой ноги.,Карикатура: старуха в кресле перед камином срезает кухонным ножом мозоли с правой ноги.,1800,1800,,Бумага,офорт раскрашенный,"30,8х24 см"
ОГ-356584,,Карикатура на возвращение Наполеона после русского похода.,Карикатура на возвращение Наполеона после русского похода.,1813,1813,,Бумага,офорт раскрашенный,"30,2х40,5 см"
ОГ-356585,,"дама в головном уборе с перьями, поющая и аккомпанирующая себе на гитаре.","Карикатура: дама в головном уборе с перьями, поющая и аккомпанирующая себе на гитаре.",1700,1800,,Бумага,офорт раскрашенный,"27х23,5 см"
ОГ-356586,,два охотника закусывают в лесу.,Карикатура: два охотника закусывают в лесу.,1800,1800,,Бумага,офорт раскрашенный,"27,5х37,9 см"
ОГ-356587,,последствия ветра.,Карикатура: последствия ветра.,1805,1805,,Бумага,офорт раскрашенный,27х38 см
ОГ-356588,,"Венера, которую одевают три грации.","Карикатура: Венера, которую одевают три грации.",1800,1800,,Бумага,офорт раскрашенный,"33х43,7 см"
ОГ-356589,,"два всадника, скачущих у ограды один за другим.","Карикатура: два всадника, скачущих у ограды один за другим.",1802,1802,,Бумага,офорт раскрашенный,"31,4х46,3 см"
